Icing_Factor,Scenario,Mode,Generations,Capped_at_30,W_Econ,W_GHG,W_Social,Land_Sensitivity,Spill_Sensitivity,Diesel_Price,Capex_Factor,Demand_Factor,Optimal_Turbines,LCOE_Nominal,LCOE_Worst_Case,LCOE_Best_Case,Pct_Wind,Emissions_Intensity,Hybrid_Total_Emissions_tCO2,Baseline_Total_Emissions_tCO2,Payback_Year
0,Weight_Correlation,Brownfield,50,Yes,0.001,0.7,0.3,0.8,0.8,0.78,1,1,4,0.1521,0.1623,0.1438,68.96,260.89,2972.92,9579.1,9.42
0,Weight_Correlation,Greenfield,50,No,0.001,0.7,0.3,0.8,0.8,0.78,1,1,4,0.1676,0.1778,0.1594,68.96,260.89,2972.92,9579.1,11.8
0,Weight_Correlation,Brownfield,50,No,0.001,0.7,0.3,0.8,0.8,0.78,1,1,4,0.1521,0.1623,0.1438,68.96,260.89,2972.92,9579.1,9.42
0,Weight_Correlation,Greenfield,50,Yes,0.001,0.8,0.2,0.8,0.8,0.78,1,1,5,0.1663,0.1727,0.1606,80.37,170.86,1880.57,9579.1,13.62
0,Weight_Correlation,Brownfield,50,Yes,0.001,0.8,0.2,0.8,0.8,0.78,1,1,5,0.1507,0.1572,0.145,80.37,170.86,1880.57,9579.1,11.12
0,Weight_Correlation,Greenfield,50,No,0.001,0.8,0.2,0.8,0.8,0.78,1,1,5,0.1663,0.1727,0.1606,80.37,170.86,1880.57,9579.1,13.62
0,Weight_Correlation,Brownfield,50,No,0.001,0.8,0.2,0.8,0.8,0.78,1,1,5,0.1507,0.1572,0.145,80.37,170.86,1880.57,9579.1,11.12
0,Weight_Correlation,Greenfield,50,Yes,0.001,0.9,0.1,0.8,0.8,0.78,1,1,7,0.1875,0.1906,0.1848,91.31,84.49,832.66,9579.1,No payback
0,Weight_Correlation,Brownfield,50,Yes,0.001,0.9,0.1,0.8,0.8,0.78,1,1,7,0.172,0.1751,0.1692,91.31,84.49,832.66,9579.1,23.93
0,Weight_Correlation,Greenfield,50,No,0.001,0.9,0.1,0.8,0.8,0.78,1,1,7,0.1875,0.1906,0.1848,91.31,84.49,832.66,9579.1,No payback
0,Weight_Correlation,Brownfield,50,No,0.001,0.9,0.1,0.8,0.8,0.78,1,1,6,0.158,0.1635,0.1541,87.52,114.4,1195.52,9579.1,14.72
0,Weight_Correlation,Greenfield,50,Yes,0.001,1,0.001,0.8,0.8,0.78,1,1,6,0.1735,0.179,0.1697,87.52,114.4,1195.52,9579.1,18.25
0,Weight_Correlation,Brownfield,50,Yes,0.001,1,0.001,0.8,0.8,0.78,1,1,7,0.172,0.1751,0.1692,91.31,84.49,832.66,9579.1,23.93
0,Weight_Correlation,Greenfield,50,No,0.001,1,0.001,0.8,0.8,0.78,1,1,6,0.1735,0.179,0.1697,87.52,114.4,1195.52,9579.1,18.25
0,Weight_Correlation,Brownfield,50,No,0.001,1,0.001,0.8,0.8,0.78,1,1,7,0.172,0.1751,0.1692,91.31,84.49,832.66,9579.1,23.93
0,Weight_Correlation,Greenfield,50,Yes,0.1,0.001,0.9,0.8,0.8,0.78,1,1,1,0.2069,0.2169,0.1978,17.26,669.08,7925.63,9579.1,No payback
0,Weight_Correlation,Brownfield,50,Yes,0.1,0.001,0.9,0.8,0.8,0.78,1,1,1,0.1913,0.2014,0.1822,17.26,669.08,7925.63,9579.1,10.01
0,Weight_Correlation,Greenfield,50,No,0.1,0.001,0.9,0.8,0.8,0.78,1,1,1,0.2069,0.2169,0.1978,17.26,669.08,7925.63,9579.1,No payback
